epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.102,1.87194,3.09273,1.92967,0.52877,0.42026,0.41175,0.20837,1.67675,1.94825,1.71106,0.0670342,0.000332988,0.000332988
2,581.602,1.68783,2.06016,1.72324,0.60627,0.53036,0.56949,0.29525,1.60292,1.59245,1.60298,0.0340298,0.000661924,0.000661924
3,870.461,1.60105,1.76851,1.64974,0.66525,0.5989,0.62657,0.33554,1.54103,1.44922,1.5844,0.001021,0.000986459,0.000986459
4,1158.6,1.56182,1.62448,1.60555,0.66897,0.64145,0.67168,0.36485,1.48059,1.3315,1.54404,0.0009802,0.0009802,0.0009802
5,1447.06,1.51796,1.50315,1.57311,0.69731,0.70044,0.70341,0.38788,1.50168,1.22171,1.54451,0.0009736,0.0009736,0.0009736
6,1735.5,1.50515,1.44089,1.54731,0.76547,0.69014,0.75902,0.42224,1.48763,1.16597,1.52874,0.000967,0.000967,0.000967
7,2023.98,1.47787,1.37241,1.53407,0.76898,0.72277,0.76487,0.41616,1.48745,1.14469,1.54745,0.0009604,0.0009604,0.0009604
8,2311.94,1.4528,1.29939,1.51467,0.78096,0.71416,0.78044,0.43632,1.4848,1.08501,1.50905,0.0009538,0.0009538,0.0009538
9,2600.07,1.43897,1.27064,1.5018,0.81365,0.7575,0.80736,0.45504,1.47826,1.03838,1.50815,0.0009472,0.0009472,0.0009472
10,2888.32,1.41547,1.2266,1.49429,0.82446,0.72274,0.80266,0.46468,1.4287,1.023,1.47467,0.0009406,0.0009406,0.0009406
11,3176.62,1.40246,1.18581,1.46697,0.80306,0.75441,0.80602,0.46084,1.45453,1.00633,1.47628,0.000934,0.000934,0.000934
12,3464.51,1.38454,1.15145,1.43983,0.79632,0.75062,0.81917,0.47373,1.43398,0.96148,1.45078,0.0009274,0.0009274,0.0009274
13,3752.91,1.38068,1.13651,1.44195,0.83851,0.74739,0.82107,0.47187,1.4279,0.97758,1.45935,0.0009208,0.0009208,0.0009208
14,4041.21,1.34899,1.09758,1.42883,0.82243,0.76799,0.83159,0.48188,1.43786,0.90768,1.47074,0.0009142,0.0009142,0.0009142
15,4329.74,1.34467,1.08681,1.41044,0.86312,0.74474,0.84102,0.49016,1.41535,0.89584,1.41886,0.0009076,0.0009076,0.0009076
